date,open,high,low,close,volume
2022-04-13T16:10:00.000Z,40.785,40.85,40.745,40.85,22551.0
2022-04-13T16:20:00.000Z,40.855,40.87,40.74,40.775,15957.0
2022-04-13T16:30:00.000Z,40.78,40.81,40.7,40.685,13939.0
2022-04-13T16:40:00.000Z,40.685,40.8,40.68,40.795,9286.0
2022-04-13T16:50:00.000Z,40.795,40.8,40.73,40.765,15805.0
2022-04-13T17:00:00.000Z,40.765,40.805,40.735,40.78,6025.0
2022-04-13T17:10:00.000Z,40.785,40.8,40.76,40.765,7206.0
2022-04-13T17:20:00.000Z,40.765,40.805,40.755,40.755,7825.0
2022-04-13T17:30:00.000Z,40.77,40.825,40.765,40.795,7942.0
2022-04-13T17:40:00.000Z,40.795,40.795,40.72,40.745,6981.0
2022-04-13T17:50:00.000Z,40.745,40.76,40.64,40.645,13011.0
2022-04-13T18:00:00.000Z,40.645,40.69,40.61,40.705,23055.0
2022-04-13T18:10:00.000Z,40.705,40.715,40.66,40.695,9404.0
2022-04-13T18:20:00.000Z,40.695,40.72,40.66,40.67,11275.0
2022-04-13T18:30:00.000Z,40.67,40.69,40.655,40.675,9634.0
2022-04-13T18:40:00.000Z,40.685,40.73,40.685,40.715,13164.0
2022-04-13T18:50:00.000Z,40.715,40.715,40.62,40.635,12641.0
2022-04-13T19:00:00.000Z,40.62,40.635,40.58,40.64,19545.0
2022-04-13T19:10:00.000Z,40.635,40.675,40.62,40.635,14151.0
2022-04-13T19:20:00.000Z,40.635,40.705,40.635,40.665,15310.0
2022-04-13T19:30:00.000Z,40.665,40.7,40.66,40.68,22959.0
2022-04-13T19:40:00.000Z,40.68,40.68,40.54,40.555,50777.0
2022-04-13T19:50:00.000Z,40.535,40.69,40.53,40.685,66606.0
2022-04-13T20:00:00.000Z,40.685,40.685,40.685,40.685,0.0
2022-04-14T13:30:00.000Z,40.525,40.63,40.35,40.4,15159.0
2022-04-14T13:40:00.000Z,40.36,40.44,40.22,40.355,5998.0
2022-04-14T13:50:00.000Z,40.36,40.455,40.16,40.21,7049.0
2022-04-14T14:00:00.000Z,40.21,40.365,40.185,40.295,6950.0
2022-04-14T14:10:00.000Z,40.3,40.36,40.285,40.33,7567.0
2022-04-14T14:20:00.000Z,40.34,40.435,40.295,40.39,5336.0
2022-04-14T14:30:00.000Z,40.395,40.475,40.365,40.37,4182.0
2022-04-14T14:40:00.000Z,40.39,40.465,40.38,40.465,5211.0
2022-04-14T14:50:00.000Z,40.465,40.475,40.375,40.405,6936.0
2022-04-14T15:00:00.000Z,40.395,40.4,40.3,40.29,5816.0
2022-04-14T15:10:00.000Z,40.335,40.385,40.32,40.345,2445.0
2022-04-14T15:20:00.000Z,40.355,40.375,40.16,40.245,13056.0
2022-04-14T15:30:00.000Z,40.24,40.285,40.225,40.25,7028.0
2022-04-14T15:40:00.000Z,40.25,40.28,40.205,40.245,5730.0
2022-04-14T15:50:00.000Z,40.245,40.335,40.23,40.325,7719.0
2022-04-14T16:00:00.000Z,40.325,40.4,40.325,40.4,6399.0
2022-04-14T16:10:00.000Z,40.4,40.475,40.395,40.465,9389.0
2022-04-14T16:20:00.000Z,40.46,40.55,40.43,40.545,2872.0
2022-04-14T16:30:00.000Z,40.555,40.67,40.53,40.62,2073.0
2022-04-14T16:40:00.000Z,40.635,40.635,40.55,40.605,3677.0
2022-04-14T16:50:00.000Z,40.595,40.7,40.595,40.7,10673.0
2022-04-14T17:00:00.000Z,40.71,40.78,40.7,40.735,32869.0
2022-04-14T17:10:00.000Z,40.74,40.83,40.695,40.73,52388.0
2022-04-14T17:20:00.000Z,40.735,40.81,40.73,40.805,4749.0
2022-04-14T17:30:00.000Z,40.795,40.815,40.77,40.78,6045.0
2022-04-14T17:40:00.000Z,40.775,40.89,40.77,40.86,6535.0
2022-04-14T17:50:00.000Z,40.86,40.905,40.815,40.885,4496.0
2022-04-14T18:00:00.000Z,40.885,40.92,40.875,40.89,9703.0
2022-04-14T18:10:00.000Z,40.885,40.95,40.83,40.83,12562.0
2022-04-14T18:20:00.000Z,40.835,40.84,40.775,40.81,8859.0
2022-04-14T18:30:00.000Z,40.805,40.865,40.785,40.77,31617.0
2022-04-14T18:40:00.000Z,40.775,40.805,40.77,40.8,25011.0
2022-04-14T18:50:00.000Z,40.8,40.84,40.67,40.68,23784.0
2022-04-14T19:00:00.000Z,40.685,40.765,40.675,40.73,29053.0
2022-04-14T19:10:00.000Z,40.725,40.795,40.725,40.755,11633.0
2022-04-14T19:20:00.000Z,40.755,40.795,40.75,40.785,17555.0
2022-04-14T19:30:00.000Z,40.785,40.815,40.78,40.805,18198.0
2022-04-14T19:40:00.000Z,40.805,40.85,40.74,40.75,30715.0
2022-04-14T19:50:00.000Z,40.75,40.84,40.745,40.835,44637.0
2022-04-14T20:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T13:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T13:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T13:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T14:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T14:10:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T14:20:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T14:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T14:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T14:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T15:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T15:10:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T15:20:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T15:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T15:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T15:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T16:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T16:10:00.000Z,40.835,40.835,40.835,40.835,0.0
